GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,AMR8E001,AMVZE001,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010,AMR8M001,AMVZM001
"G4201010034502","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034502",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034502",,,"Census Tract 345.02, Philadelphia County, Pennsylvania",5427,3234,1067,0,888,17,0,221,45,176,47714,1046,"Census Tract 345.02, Philadelphia County, Pennsylvania",716,565,356,15,568,27,15,156,62,145,4792,85
"G4201010034600","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034600",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034600",,,"Census Tract 346, Philadelphia County, Pennsylvania",2617,1280,770,6,208,0,274,79,32,47,51667,1152,"Census Tract 346, Philadelphia County, Pennsylvania",436,403,290,15,157,11,245,79,51,49,9185,45
"G4201010034701","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034701",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034701",,,"Census Tract 347.01, Philadelphia County, Pennsylvania",7314,4793,1251,6,1126,0,51,87,40,47,58370,1098,"Census Tract 347.01, Philadelphia County, Pennsylvania",1300,1227,560,17,481,15,48,79,45,62,13809,91
"G4201010034702","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034702",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034702",,,"Census Tract 347.02, Philadelphia County, Pennsylvania",3493,2521,339,0,313,0,253,67,0,67,88384,984,"Census Tract 347.02, Philadelphia County, Pennsylvania",286,267,179,11,150,11,247,80,11,80,7012,155
"G4201010034801","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034801",,,"Census Tract 348.01, Philadelphia County, Pennsylvania",4739,4293,192,0,186,0,29,39,12,27,58571,547,"Census Tract 348.01, Philadelphia County, Pennsylvania",493,544,121,11,183,11,33,34,18,30,7731,15
"G4201010034802","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034802",,,"Census Tract 348.02, Philadelphia County, Pennsylvania",5765,3702,1707,27,0,53,166,110,21,89,45956,1058,"Census Tract 348.02, Philadelphia County, Pennsylvania",967,897,555,45,15,71,223,145,29,144,13740,112
"G4201010034803","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034803",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034803",,,"Census Tract 348.03, Philadelphia County, Pennsylvania",3854,3230,76,11,91,0,342,104,14,90,80672,1117,"Census Tract 348.03, Philadelphia County, Pennsylvania",358,398,66,17,73,11,388,98,22,89,12884,80
"G4201010034900","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"034900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101034900",,,"Census Tract 349, Philadelphia County, Pennsylvania",4959,2740,1307,0,185,0,597,130,50,80,53947,847,"Census Tract 349, Philadelphia County, Pennsylvania",790,616,495,11,241,11,506,113,78,88,8853,70
"G4201010035100","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035100",,,"Census Tract 351, Philadelphia County, Pennsylvania",4040,3304,397,0,180,0,0,159,0,159,59219,1420,"Census Tract 351, Philadelphia County, Pennsylvania",655,552,247,11,167,11,11,222,11,222,16432,60
"G4201010035200","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035200",,,"Census Tract 352, Philadelphia County, Pennsylvania",4733,4398,137,0,132,0,62,4,0,4,75972,1093,"Census Tract 352, Philadelphia County, Pennsylvania",548,571,96,11,123,11,62,9,11,9,18682,83
"G4201010035301","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035301",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035301",,,"Census Tract 353.01, Philadelphia County, Pennsylvania",5487,4640,130,21,127,0,133,436,262,174,78574,1403,"Census Tract 353.01, Philadelphia County, Pennsylvania",679,561,110,34,113,15,208,257,218,163,12056,447
"G4201010035302","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035302",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035302",,,"Census Tract 353.02, Philadelphia County, Pennsylvania",4569,3367,433,33,205,0,52,479,24,455,54219,1121,"Census Tract 353.02, Philadelphia County, Pennsylvania",888,460,234,46,195,11,54,586,38,584,8928,37
"G4201010035500","2016-2020","PA",,,"Pennsylvania","42","Philadelphia County","101",,,"035500",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US42101035500",,,"Census Tract 355, Philadelphia County, Pennsylvania",7717,5838,489,0,706,14,177,493,0,493,60050,987,"Census Tract 355, Philadelphia County, Pennsylvania",1230,1305,414,15,388,18,139,325,15,325,23296,88
