GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,JOIE001,JS5E001,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010,JOIM001,JS5M001
"G4200790210600","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210600",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210600",,,"Census Tract 2106, Luzerne County, Pennsylvania",1280,1280,0,0,0,0,0,0,0,0,27813,523,"Census Tract 2106, Luzerne County, Pennsylvania",133,133,109,109,109,109,109,109,109,109,11998,103
"G4200790210700","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210700",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210700",,,"Census Tract 2107, Luzerne County, Pennsylvania",1787,1722,27,0,38,0,0,0,0,0,30949,499,"Census Tract 2107, Luzerne County, Pennsylvania",179,184,44,109,59,109,109,109,109,109,5310,156
"G4200790210800","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210800",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210800",,,"Census Tract 2108, Luzerne County, Pennsylvania",3243,3177,0,0,0,0,56,10,0,10,36523,550,"Census Tract 2108, Luzerne County, Pennsylvania",213,193,109,109,109,109,83,19,109,19,6703,62
"G4200790210900","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"210900",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079210900",,,"Census Tract 2109, Luzerne County, Pennsylvania",1464,1451,13,0,0,0,0,0,0,0,32464,523,"Census Tract 2109, Luzerne County, Pennsylvania",138,137,21,109,109,109,109,109,109,109,4923,57
"G4200790211000","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211000",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211000",,,"Census Tract 2110, Luzerne County, Pennsylvania",4886,4765,76,0,15,0,30,0,0,0,45722,645,"Census Tract 2110, Luzerne County, Pennsylvania",26,139,119,109,24,109,48,109,109,109,7532,50
"G4200790211101","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211101",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211101",,,"Census Tract 2111.01, Luzerne County, Pennsylvania",5686,5469,110,0,39,0,68,0,0,0,44000,648,"Census Tract 2111.01, Luzerne County, Pennsylvania",24,136,85,109,58,109,107,109,109,109,5023,62
"G4200790211102","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211102",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211102",,,"Census Tract 2111.02, Luzerne County, Pennsylvania",2231,2223,0,0,8,0,0,0,0,0,62000,772,"Census Tract 2111.02, Luzerne County, Pennsylvania",233,232,109,109,13,109,109,109,109,109,9245,43
"G4200790211201","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211201",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211201",,,"Census Tract 2112.01, Luzerne County, Pennsylvania",2765,2676,0,0,77,0,0,12,0,12,60625,815,"Census Tract 2112.01, Luzerne County, Pennsylvania",27,82,109,109,78,109,109,19,109,19,5708,274
"G4200790211203","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211203",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211203",,,"Census Tract 2112.03, Luzerne County, Pennsylvania",1847,1835,0,0,0,0,0,12,0,12,55263,727,"Census Tract 2112.03, Luzerne County, Pennsylvania",190,188,109,109,109,109,109,14,109,14,4219,21
"G4200790211204","2006-2010","PA",,,"Pennsylvania","42","Luzerne County","079",,,"211204",,,,,,,,,,,,,,,,,,,,,,,,,"14000US42079211204",,,"Census Tract 2112.04, Luzerne County, Pennsylvania",6033,5939,0,19,13,0,37,25,0,25,51354,714,"Census Tract 2112.04, Luzerne County, Pennsylvania",339,342,109,31,25,109,47,43,109,43,7897,63
